gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
B9D2,Stim8hr,-2.066046661554266,-0.9475571671738304,False,untested,0.375,not_in_atlas,0.094,0.43,0,unannotated,False,0.9452616653885665,0.8,0.8507354988497099
TF,Stim8hr,-2.2684093790181064,-0.8105711358821351,False,untested,0.375,not_in_atlas,0.008,-1.21,0,unannotated,False,0.9421023447545266,0.8,0.847892110279074
SH3BGRL2,Stim48hr,-2.190061951268845,-0.9943712889581259,False,untested,0.375,not_in_atlas,0.023,-0.92,0,unannotated,False,0.9225154878172113,0.8,0.8302639390354901
OLAH,Stim8hr,-2.150395791304956,-0.7212823661053536,False,untested,0.375,not_in_atlas,0.074,0.05,0,unannotated,False,0.9188489478262389,0.8,0.8269640530436151
UST,Rest,-2.168673097078314,0.6320690416240399,False,untested,0.375,not_in_atlas,0.058,-0.25,0,unannotated,False,0.9171682742695785,0.8,0.8254514468426206
SPDYE3,Rest,-2.1497039148930748,0.503005568396813,False,untested,0.375,not_in_atlas,0.062,-0.18,0,unannotated,False,0.9124259787232687,0.8,0.8211833808509419
ARHGAP24,Stim48hr,-2.104555144850042,-0.9375887975116045,False,untested,0.375,not_in_atlas,0.068,-0.07,0,unannotated,False,0.9011387862125105,0.8,0.8110249075912594
RPL36A-HNRNPH2,Stim8hr,-2.2758135101687085,0.08525872537662238,False,untested,0.5,moderate,0.044,-0.52,0,unannotated,False,1.0689533775421771,0.5,0.8017150331566328
LGALS2,Rest,-2.022181386990085,-0.8778665358760137,False,untested,0.375,not_in_atlas,0.042,-0.57,0,unannotated,False,0.8805453467475213,0.8,0.7924908120727692
AUP1,Rest,-2.219247474967329,-0.3816792680589056,False,untested,0.5,moderate,0.065,-0.12,0,unannotated,False,1.0548118687418322,0.5,0.7911089015563741
HYCC2,Rest,-2.005806934491042,-0.7720983255665124,False,untested,0.375,not_in_atlas,-0.012,-1.58,0,unannotated,False,0.8764517336227605,0.8,0.7888065602604845
LRRC42,Rest,-2.0009757034920024,-0.6841222327522103,False,untested,0.375,not_in_atlas,0.015,-1.07,0,unannotated,False,0.8752439258730006,0.8,0.7877195332857005
MUC3A,Stim8hr,-2.092947590492625,-0.964361282168904,False,untested,0.375,moderate,-0.044,-2.2,0,unannotated,False,0.8982368976231563,0.5,0.6736776732173673
RBM41,Stim8hr,-2.1872561498541825,-0.3247161976497325,False,untested,0.5,concordant,0.086,0.27,0,unannotated,False,1.0805640374635455,0.1,0.5943102206049501
TPPP,Rest,-2.2424382705709487,-0.41213293590506345,False,untested,0.5,concordant,-0.0,-1.36,0,unannotated,False,1.0606095676427372,0.1,0.5833352622035055
METTL8,Stim48hr,-2.170008976884291,0.03732369863151464,False,untested,0.5,concordant,0.05,-0.41,0,unannotated,False,1.0425022442210727,0.1,0.57337623432159
MLF1,Stim48hr,-2.2560735097897595,-0.9205933239580774,False,untested,0.375,concordant,0.071,-0.0,0,unannotated,False,0.9390183774474399,0.1,0.516460107596092
