gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
RAB21,Stim8hr,-3.033130935889304,-0.9645032670625345,True,untested,0.75,concordant,0.096,0.47,0,unannotated,False,3.567032733972326,0.1,1.9618680036847793
ARL1,Rest,-2.9874402308467896,0.2670157045137959,True,untested,0.75,concordant,0.1,0.55,0,unannotated,False,3.5656100577116976,0.1,1.9610855317414337
STAT5A,Stim8hr,-2.4504633637405893,-0.5836648560494041,True,untested,0.375,concordant,0.033,-0.74,1,TF (hard),False,2.987615840935147,0.1,1.9431887125143312
SPEN,Rest,-2.0841409613947013,0.9733686248442773,True,untested,0.375,concordant,0.045,-0.5,1,TF (hard),False,2.8960352403486755,0.1,1.8928193821917718
RELL2,Stim8hr,-2.9756864040725173,0.7067903090098316,False,robust,0.5625,concordant,0.087,0.29,2,surface/antibody,False,2.342671601018129,0.1,1.8884693805599713
GJB2,Stim48hr,-2.212099701514055,-0.49124477874771466,False,untested,0.5,not_in_atlas,0.085,0.25,3,small-molecule,False,1.0842749253785138,0.8,1.8758474328406622
AQP11,Rest,-2.0274883455016894,-0.16096475549876219,False,untested,0.5,not_in_atlas,0.092,0.39,3,small-molecule,False,1.0556220863754224,0.8,1.85005987773788
ADRM1,Rest,-2.4937385060239876,-0.030035629615533892,True,untested,0.5,concordant,0.16,1.69,0,unannotated,False,3.334684626505997,0.1,1.8340765445782985
CMKLR1,Rest,-2.1026384487977805,0.3253395899763172,False,untested,0.5,not_in_atlas,0.041,-0.59,3,small-molecule,False,1.025659612199445,0.8,1.8230936509795006
TPT1,Rest,-2.859558482007655,-0.7396219428091229,False,robust,0.5625,moderate,0.089,0.34,0,unannotated,False,2.3198896205019137,0.5,1.7399172153764353
CX3CR1,Stim48hr,-2.2205907920118406,-0.7730379921047167,False,untested,0.375,not_in_atlas,0.036,-0.68,3,small-molecule,False,0.9301476980029602,0.8,1.737132928202664
TAF1,Stim8hr,-2.1420892280234023,-0.9250294289634315,False,untested,0.375,not_in_atlas,0.078,0.13,3,small-molecule,False,0.9267723070058506,0.8,1.7340950763052654
CCL22,Stim48hr,-2.46161834679329,-0.5014960109881975,False,untested,0.375,not_in_atlas,0.17,1.88,2,surface/antibody,False,1.2254045866983225,0.8,1.7028641280284904
