gene,dataset,compartment,mean_lesional,mean_control,log2fc,pval,padj,direction,n_cells,n_les,n_ctrl
RBCK1,GSE147424,Tcell,0.1165274903178215,0.05249039828777313,1.1973884096947467,2.510248e-09,8.032793630263768e-09,up,4227,1829,2398
DOHH,GSE147424,Tcell,0.07461686432361603,0.03738689050078392,1.024075625598365,5.3480255e-07,9.507600932718358e-07,up,4227,1829,2398
GATA3,GSE147424,Tcell,0.6205241680145264,0.3561045527458191,1.0073825582961398,1.8033636e-23,1.4426909115735326e-22,up,4227,1829,2398
MPG,GSE147424,Tcell,0.22213755548000336,0.12576718628406525,0.8922286172011581,1.2040148e-12,4.816059009926654e-12,up,4227,1829,2398
P4HB,GSE147424,Tcell,0.4434202313423157,0.2640441060066223,0.8848996880069302,1.0579731e-18,5.6425232130243226e-18,up,4227,1829,2398
STAT6,GSE147424,Tcell,0.10653241723775864,0.0592927411198616,0.8799121473642588,4.490748e-07,8.981496080195939e-07,up,4227,1829,2398
CBX5,GSE147424,Tcell,0.1809186339378357,0.10697770118713379,0.8126471623230079,5.1339115e-09,1.369043071501134e-08,up,4227,1829,2398
SRD5A3,GSE147424,Tcell,0.04840617999434471,0.028616338968276978,0.7727190914991713,0.00027594186,0.0004415069706737995,up,4227,1829,2398
SLC33A1,GSE147424,Tcell,0.06164854019880295,0.03750833123922348,0.734413001941359,0.00051441515,0.0006858868679652611,up,4227,1829,2398
ARL1,GSE147424,Tcell,0.1263023167848587,0.0814841091632843,0.6651796559841087,1.9705946e-07,4.504216316750639e-07,up,4227,1829,2398
BRPF1,GSE147424,Tcell,0.04129749536514282,0.027279231697320938,0.6084210827137597,0.0025546358,0.0031441670770828542,up,4227,1829,2398
ARNT,GSE147424,Tcell,0.0647473856806755,0.043233469128608704,0.5983319752846602,0.0028619152,0.003270760178565979,up,4227,1829,2398
GPATCH8,GSE147424,Tcell,0.1865191012620926,0.15825024247169495,0.25809291955661473,0.00039158223,0.0005695741538974372,up,4227,1829,2398
RAB21,GSE147424,Tcell,0.08057872205972672,0.07028022408485413,0.2048023100519705,0.014020174,0.014954852064450581,up,4227,1829,2398
TFAP4,GSE147424,Tcell,0.0037078638561069965,0.005511133000254631,-0.5730623272871526,0.6231921,0.6231920719146729,ns,4227,1829,2398
TFAP4,GSE147424,whole,0.011956303380429745,0.009350188076496124,0.35658733889658295,0.093983576,0.13670338283885608,ns,38297,10433,27864
RBCK1,GSE147424,whole,0.11618704348802567,0.0923837274312973,0.3482073784571933,1.6626883e-08,6.650753192616321e-08,up,38297,10433,27864
STAT6,GSE147424,whole,0.1807544231414795,0.15606831014156342,0.23016017702464442,3.572286e-07,1.1431315215304493e-06,up,38297,10433,27864
MPG,GSE147424,whole,0.2736835479736328,0.24746082723140717,0.16504479340689804,0.00248754,0.005685805742229734,up,38297,10433,27864
RAB21,GSE147424,whole,0.10357096791267395,0.09547488391399384,0.12336343390579729,0.062166017,0.11051736275355022,ns,38297,10433,27864
SLC33A1,GSE147424,whole,0.06199250742793083,0.0573187991976738,0.11649035626911049,0.34221777,0.3916747570037842,ns,38297,10433,27864
DOHH,GSE147424,whole,0.06526059657335281,0.06068795919418335,0.10813494542561423,0.33298278,0.3916747570037842,ns,38297,10433,27864
P4HB,GSE147424,whole,0.5694440007209778,0.5468434691429138,0.07623761756755411,0.0028614984,0.005722996778786182,up,38297,10433,27864
CBX5,GSE147424,whole,0.2523137629032135,0.24289262294769287,0.06197630712983426,0.08493839,0.13590142726898194,ns,38297,10433,27864
ARL1,GSE147424,whole,0.21340782940387726,0.20883528888225555,0.03466195236136646,0.3427154,0.3916747570037842,ns,38297,10433,27864
ARNT,GSE147424,whole,0.08362716436386108,0.0822349488735199,0.02523814254023097,0.6557506,0.6994672775268554,ns,38297,10433,27864
